,City,Country,Lat,Lng,Hotel Name
0,ostrovnoy,RU,68.05,39.51,Sberbank Rossii
1,mahebourg,MU,-20.41,57.7,Holiday Inn Mauritius Mon Tresor
2,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
3,zhuhai,CN,40.71,112.04,
4,cape town,ZA,-33.93,18.42,Atlanticview Cape Town Boutique Hotel
5,atuona,PF,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
6,flinders,AU,-34.58,150.85,Lakeview Hotel Motel
7,opuwo,,-18.06,13.84,Ohakane Guesthouse
8,tiksi,RU,71.64,128.87,Umka
9,pushkinskiye gory,RU,57.02,28.91,Arina R.
10,aykhal,RU,65.95,111.51,Гостиница Айхал
11,castro,CL,-42.48,-73.76,Mangata Hotel
12,avarua,CK,-21.21,-159.78,Sanctuary Rarotonga-On the Beach
13,saskylakh,RU,71.97,114.09,Sberbank Rossii
14,constitucion,MX,23.99,-104.67,Hotel Gobernador
15,albany,US,42.65,-73.75,Renaissance Albany Hotel
16,vilyuysk,RU,63.75,121.63,"Gostinitsa ""Mariya"""
17,ushuaia,AR,-54.81,-68.31,Los Cauquenes Resort & Spa
18,bambous virieux,MU,-20.34,57.76,Laguna Beach Hotel & Spa
19,kodinsk,RU,58.6,99.18,"Art-Otel' "" Kupecheskiy"""
20,teknaf,BD,20.86,92.31,Milky Resort
21,busselton,AU,-33.64,115.35,Esplanade Hotel
22,ambon,FR,47.55,-2.56,Hotel de la Plage - Damgan - Morbihan - Bretagne
23,maragogi,BR,-9.01,-35.22,Maraga Beach Hostel
24,fallon,US,46.84,-105.12,
25,kantang,TH,7.42,99.52,
26,colonelganj,IN,27.13,81.7,Anand Hotel
27,punta arenas,CL,-53.16,-70.91,Hotel Dreams Del Estrecho
28,rikitea,PF,-23.12,-134.97,Pension Maro'i
29,new norfolk,AU,-42.78,147.06,
30,gobabis,,-22.45,18.97,Goba Lodge
